channel_id,channel_name,video_id
UCgPkdHArMPS2F8LjUrBKXqw,RED Q,tWsomSFXDUo
UCgPkdHArMPS2F8LjUrBKXqw,RED Q,qnuh085sXvQ
UCeLPm9yH_a_QH8n6445G-Ow,KBS Kpop,DucXv5xjhW4
UCkbJc8jMcTXwhtmN5VMwfXg,JTBC Drama,TtSSbyS-KzY
UCkbJc8jMcTXwhtmN5VMwfXg,JTBC Drama,xuJaPUXy8lw
UCkbJc8jMcTXwhtmN5VMwfXg,JTBC Drama,r2s-xMX1QUI
UCkbJc8jMcTXwhtmN5VMwfXg,JTBC Drama,Y1zRlSdWE1s
UCkbJc8jMcTXwhtmN5VMwfXg,JTBC Drama,wzjY2VZttC0
UCkbJc8jMcTXwhtmN5VMwfXg,JTBC Drama,xcpYyXLLzcQ
UCkbJc8jMcTXwhtmN5VMwfXg,JTBC Drama,Vu4KjOw4hZo
UCkbJc8jMcTXwhtmN5VMwfXg,JTBC Drama,KlRCmUlU4IY
UCkbJc8jMcTXwhtmN5VMwfXg,JTBC Drama,izKeTaJZoWs
UCkbJc8jMcTXwhtmN5VMwfXg,JTBC Drama,wCmyj62fMjE
UCkbJc8jMcTXwhtmN5VMwfXg,JTBC Drama,fpMEeK5XLDU
UCkbJc8jMcTXwhtmN5VMwfXg,JTBC Drama,UiJajkmex5w
UCkbJc8jMcTXwhtmN5VMwfXg,JTBC Drama,JY_3tgT6D84
UCkbJc8jMcTXwhtmN5VMwfXg,JTBC Drama,gpG28HgDeNc
UCkbJc8jMcTXwhtmN5VMwfXg,JTBC Drama,e8mCMISnMAQ
UCkbJc8jMcTXwhtmN5VMwfXg,JTBC Drama,ByhcXwclHQo
UCkbJc8jMcTXwhtmN5VMwfXg,JTBC Drama,Y72m552UYc8
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,c8By6WJ6Z6M
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,ofI-or9dE8Y
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,o3M0hVnTqpc
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,lrnVhHFr9qE
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,0RJpkvVJVUE
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,LwHTxxMa7Fo
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,XH_RhjO5d5c
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,SHTSbaYwhD4
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,A47f5LTeGoI
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,2UES8U6z4YU
UCaKod3X1Tn4c7Ci0iUKcvzQ,RunningMan,WI0QMimSMmA
UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,QWFIz75ad6I
UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,F7sGJVUrkjQ
UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,yfKBI5l81-A
UCaO6TYtlC8U5ttz62hTrZgg,JYPEntertainment,BzwbLC4-zOs
UCaO6TYtlC8U5ttz62hTrZgg,JYPEntertainment,PqWApYzlfrU
UCaO6TYtlC8U5ttz62hTrZgg,JYPEntertainment,gOjG-70-D5o
UCzgxx_DM2Dcb9Y1spb9mUJA,TWICE,35kacj9xT9c
UCDNvRZRgvkBTUkQzFoT_8rA,DdeunDdeun,mWibz_ZFo3E
