channel_id,channel_name,video_id,auto_caption_lang,manual_langs
UChhKBlh_wvspTh5n4mL0b5g,BOYNEXTDOOR Extra,2XdhtRwJ-HQ,,
UChhKBlh_wvspTh5n4mL0b5g,BOYNEXTDOOR Extra,mLgMRjJy8qM,,
UChhKBlh_wvspTh5n4mL0b5g,BOYNEXTDOOR Extra,w3HNcGhdd3Y,,
UChhKBlh_wvspTh5n4mL0b5g,BOYNEXTDOOR Extra,BxLJ9B_KSnU,,
UChhKBlh_wvspTh5n4mL0b5g,BOYNEXTDOOR Extra,onqC_1DTgvw,,
UChhKBlh_wvspTh5n4mL0b5g,BOYNEXTDOOR Extra,DYwUKMl3NP4,,
UChhKBlh_wvspTh5n4mL0b5g,BOYNEXTDOOR Extra,IucfwV5xOw0,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,AL1g_Ql5K_8,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,471qezga0jo,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,y8KaX-2emu4,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,8mb6nPJIh2A,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,Y6DhzrI0XOs,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,DkDl8kGgrUA,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,lc1I9ihFsMA,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,AKVU_pb7FnU,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,WVGinjnFA7M,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,bcJY0O1ErfY,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,pCOu3jYTYn8,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,oqNyp9AJ_Jo,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,eiA3cXAeyFY,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,Hy1BkoNjD5M,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,veN5ABSqr8M,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,1yasBOqdIYo,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,ERc_arIU0BM,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,Ne0QEFtr0JI,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,t9SMtg9UZyw,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,USC8jk9BFLI,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,6UDp4_xKpCw,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,A0ZXz_YQ_x0,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,k8PJ2TpdJY4,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,bdbIV04Anck,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,VPAlRP40h9U,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,XjMznh2VBh8,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,nyghLd5KIGs,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,b5MG1DA0w9I,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,uanL1ecyN2w,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,FB1R3IOulrE,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,VJJtSZtkF6k,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,JdbuhV_wli0,,
UCtckgmUcpzqGnzcs7xEqMzQ,KBS News Extra,PHyHKL8EwWs,,
