channel_id,channel_name,video_id,status
UCfpaSruWW3S4dibonKXENjA,Tzuyang,vZnL1qrf2zs,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,8Op9zyBztCo,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,mmF70W8acHM,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,tw-DkeT-BT8,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,zaupNA5SAVU,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,rF2E3zO_LAg,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,mn69-hUGKx0,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,kgcxjWNkRAU,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,MMnivNofP0M,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,4Hdavi_3o8I,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,EgQcq1d5Crg,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,naazmdZLdD4,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,eCm58sGQM2s,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,9tkT6z80_ro,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,uhPUI60ZnyE,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,J7gTEBtwsdU,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,qh9hJj0hDxg,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,RYLgZz9UKz0,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,YvM-mTNwFaQ,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,gE6KJbIpj2k,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,wn-uL7ColtY,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,fCMU8hG2hT8,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,8YSYlNg1AE4,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,DApeA1Fd_gI,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,pUo73nxPUek,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,lZIfcL_pJSU,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,UeNIHU29oq0,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,DQWFNnQ5oDA,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,p7kzlaHAuQA,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,HfyEbRuIXBU,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,G_9WMI0PNas,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,0ykT2jWpwVk,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,5-QUaEhtAvA,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,uNq8gRAzMYc,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,iwf7uuKMqYw,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,e1VNDo80LIU,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,rFCjfGPFDpw,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,YxPnR4idxN0,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,6sYv8CqGvFo,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,qExwShSLP3Y,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,sD_tYU21KxU,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,tlhanCh6kKU,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,DyIrnuUxRsc,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,1l2ERypH5Ls,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,OOwbBh44y70,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,acseWyAHPhw,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,6FJ1Xo1fu2k,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,aOtNLZ05ypw,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,ba4weMv0tZo,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,f0BKifSh51A,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,swV9d6MDgJk,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,iHLbt58PEPo,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,cv5fc5nXtw8,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,iNouYFIMih0,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,00S1J_3uC0U,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,nAAuuWU4Ql0,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,l8-RIG3yEb8,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,sFm9UUP9a5M,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,sTzn9qh6vEY,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,ez641ZixE1s,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,ZAxRMiIosV0,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,1SxiNnPoa1o,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,fQv5r9A-Fks,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,8zsCX3FR90A,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,S0E0PpIX6v0,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,e3jSWtDCcg4,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,F4sNpfOnZAc,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,wp0vjk3tyZM,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,C_8zXGpHb6s,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,ezWrb7bK4vU,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,UFHNYUBqRsM,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,r-fV0eHaV_4,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,GBRoyvoSfAY,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,7kSC8-pnAzE,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,Zj9fS4ZmW_o,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,zngViIh42ok,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,5HvsKPp2HU8,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,3okMOI9wcfo,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,6YLPoxJwoyU,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,XkjRApcHoJA,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,MvbqVkhViFM,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,YvwIXlP0z3c,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,lB0Y9DpZga4,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,MboGWV6Y7Mg,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,RaAVsPj5EIU,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,fFSyYTu6y70,401
UCfpaSruWW3S4dibonKXENjA,Tzuyang,YOWsK4S5zmE,401
